participant_id,framing_awareness,framing_explanation,inclusion
240,Yes,I've encountered similar questions but not the exact ones,1
256,Yes,"Yes, through activities that teach ethics by using thical dilemmas and thought experiments.",0
260,Yes,,1
264,Yes,From doing surveys like these. I have not read what the researchers concluded from the surveys. ,1
270,Yes,"Examples are similar to those in 'Thinking, Fast and Slow''",1
273,Yes,I've done previous studies where I had to choose from limited option set.,1
283,Yes,I believe I have taken part in a similar study to do with directing an out of control lorry carrying poison.,1
293,Yes,Have done other studies on prolific in which I have asked similar questions about which option to choose when one is guaranteed and the other has a chance of not succeeding,1
324,Yes,From other studies with similar premises.,1
326,Yes,Other studies on prolific,1
328,Yes,"I have encountered similar decision-making scenarios in books about behavioral economics and psychology, particularly in discussions about the framing effect and risk perception.",0
329,Yes,Common problem solving that most people see in hypothetical situations,1
335,Yes,I have answered similar questions on a previous study in the past,1
341,Yes,"The questions I've seen usually give two bad options, but ine of them is essentially a gamble between an even worse outcome or a better one. ",1
343,Yes,I have encountered similar types of choices playing role-playing video games,1
349,Yes,From social media about the train tracks. Which tests your moral ground.,1
351,Yes,I was playing a hypothetical game with my friend and we were asking each other similar questions. ,1
376,Yes,Philosophy,1
379,Yes,I've seen these type of questions before where you can't really make a good choice but you need to make a choice,1
385,Yes,The trolley problem,1
389,Yes,"Yes, during the math lesson when working out probabilities",1
400,Yes,"Yes! These questions remind me much of the scenarios that would be presented to us during Philosophy  class. We would often have discussions surrounding the topic of ""do the needs of many outweigh those of the few"" and how making no choice is also a choice.",1
402,Yes,I have encountered situation where I have to make decision based on percentage ,1
407,Yes,,1
412,Yes,In other surveys.,1
431,Yes,"This reminds me of the trolley problem, wherein an individual has to decide whether to sacrifice one person to save a larger number of people",1
438,Yes,Train tracks situation,1
439,Yes,Other surveys and the trolley scenario,1
440,Yes,"I have read similar things online, particularly when covid hit, ",1
445,Yes,i got a survey asking a similar question to that,1
450,Yes,we are asked to decide whether to save 20 people and let one person die by a car crash on the one person who can possibly prevent the 20 people from being killed by the car,1
451,Yes,"Yes, I discussed the trolley problem several times throughout my academic experience. ",1
453,Yes,other surveys,1
456,Yes,"In school, studying morals ",1
461,Yes,Just in conversation with friends about the greater good. Or subjects on tv shows,1
464,Yes,it was about shopping in a particular mall,1
465,Yes,Yes I have ,1
466,Yes,These are basically trolley problems,1
476,Yes,"Other studies, which had similar questions around Covid, and other possible diseases.",1
492,Yes,I have had to decide between two options about various situations.,1
504,Yes,Similar concepts mentioned in discussions of population ethics I've read,1
515,Yes,"There is that popular train situation where save one life or two if move track, also I have done some prolific studies describing hostage scenario and choice has to be made about saving number of lives ",1
534,Yes,some studies require that i calculate the percentage between 0% and 100%,1
536,Yes,"These kinds of dilemmas are actually inspired by something called the Asian Disease Problem, which was created by psychologists Amos Tversky as well as Daniel Kahneman back in the 1980s. Their research showed the way a problem is framed. It can completely change people's decisions, whether it's focused on gains, like “lives saved,” or losses, like “lives lost.” Even if all of the options are logically the same, we tend to make different of the choices just based on the way how the situation is worded.",0
544,Yes,I've done surveys and studies where questions like these were asked of me before,1
553,Yes,I get a lot of questions like that from studies,1
555,Yes,I have been through those sorts of gimmick sites where you make ethical choices (i.e. trolley problem etc.),1
559,Yes,political science courses,1
566,Yes,reminded me of the trolley problem,1
580,Yes,In exam questions ,1
588,Yes,Having to make a decision about rationing food.,1
591,Yes,In my studies at a critical thinking course a few years ago.,1
612,Yes,"I have suffered questions that involve a extreme answer or a soft answer that begets casualities before, essentially here i am being given two choices, one risks it all while the other is conservative but suffers losses/casualties.",1
616,Yes,studies on prolific,1
636,Yes,Quiz style questions,1
669,Yes,"Looking at expected value, discussing similar hypotheticals with friends",1
670,Yes,i have encountered this in my philosphy studies in univeristy and other prolific surveys,1
671,Yes,From puzzle game,1
674,Yes,"I had been asked these questions in my previous studies, which required a clear and deep thought process before making choices as regards each study.",1
677,Yes,I have seen a similar survey before,1
682,Yes,"Yes, I’ve encountered similar questions in studies on decision-making and risk, where people choose between certain outcomes and risky ones. These questions help explore how we weigh potential rewards and risks.",0
