participant_id,framing_awareness,framing_explanation,inclusion
566,Yes,reminded me of the trolley problem,
580,Yes,In exam questions ,
588,Yes,Having to make a decision about rationing food.,
591,Yes,In my studies at a critical thinking course a few years ago.,
612,Yes,"I have suffered questions that involve a extreme answer or a soft answer that begets casualities before, essentially here i am being given two choices, one risks it all while the other is conservative but suffers losses/casualties.",
616,Yes,studies on prolific,
636,Yes,Quiz style questions,
669,Yes,"Looking at expected value, discussing similar hypotheticals with friends",
670,Yes,i have encountered this in my philosphy studies in univeristy and other prolific surveys,
671,Yes,From puzzle game,
674,Yes,"I had been asked these questions in my previous studies, which required a clear and deep thought process before making choices as regards each study.",
677,Yes,I have seen a similar survey before,
682,Yes,"Yes, I’ve encountered similar questions in studies on decision-making and risk, where people choose between certain outcomes and risky ones. These questions help explore how we weigh potential rewards and risks.",
